#  Truman, Dewey, Thurmond, Wallace, Thomas
AL,11,0,40930,171443,1522,0
AZ,4,95251,77597,0,3310,0
AR,9,149659,50959,40068,751,1037
CA,25,1913134,1895269,1228,190381,3459
CO,6,267288,239714,0,6115,1678
CT,8,423297,437754,0,13713,6964
DE,3,67813,69588,0,1050,250
FL,8,281988,194280,89755,11620,0
GA,12,254646,76691,85055,1636,3
ID,4,107370,101514,0,4972,332
IL,28,1994715,1961103,0,0,11522
IN,13,807833,821079,0,9649,2179
IA,10,522380,494018,0,12125,1829
KS,8,351902,423039,0,4603,2807
KY,11,466756,341210,10411,1567,1284
LA,10,136344,72657,204290,3035,0
ME,5,111916,150234,0,1884,547
MD,8,286521,294814,2476,9983,2941
MA,16,1151788,909370,0,38157,0
MI,19,1003448,1038595,0,46515,6063
MN,11,692966,483617,0,27866,4646
MS,9,19384,5043,167538,225,0
MO,15,917315,655039,42,3998,2222
MT,4,119071,96770,0,7313,695
NE,6,224165,264774,0,0,0
NV,3,31291,29357,0,1469,0
NH,4,107995,121299,7,1970,86
NJ,16,895455,981124,0,42683,10521
NM,4,105464,80303,0,1037,83
NY,47,2780204,2841163,0,509559,40879
NC,14,459070,258572,69652,3915,0
ND,4,95812,115139,374,8391,1000
OH,25,1452791,1445684,0,37596,0
OK,10,452782,268817,0,0,0
OR,6,243147,260904,0,14978,5051
PA,35,1752426,1902197,0,55161,11325
RI,4,188736,135787,0,2619,429
SC,8,34423,5386,102607,154,1
SD,4,117653,129651,0,2801,0
TN,12,270402,202914,73815,1864,1288
TX,23,824235,303467,113776,3920,919
UT,4,149151,124402,0,2679,0
VT,3,45557,75926,0,1279,585
VA,11,200786,172070,43393,2047,726
WA,8,476165,386315,0,31692,3534
WV,8,429188,316251,0,3311,0
WI,12,647310,590959,0,25282,12547
WY,3,52354,47947,0,931,137
