#  Lincoln, Douglas, Breckinridge, Bell, fusion
AL,9,0,13618,48669,27835,0
AR,4,0,5357,28732,20063,0
CA,4,38733,37999,33969,9111,0
CT,6,43488,15431,14372,1528,0
DE,3,3822,1066,7339,3888,0
FL,3,0,223,8277,4801,0
GA,10,0,11581,52176,42960,0
IL,11,172171,160215,2331,4914,0
IN,13,139033,115509,12295,5306,0
IA,4,70302,55639,1035,1763,0
KY,12,1364,25651,53143,66058,0
LA,6,0,7625,22681,20204,0
ME,8,62811,29693,6368,2046,0
MD,8,2294,5966,42482,41760,0
MA,13,106684,34370,6163,22331,0
MI,6,88481,65057,805,415,0
MN,4,22069,11920,748,50,0
MS,7,0,3282,40768,25045,0
MO,9,17028,58801,31362,58372,0
NH,5,37519,25887,2125,412,0
NJ,7,58346,0,0,0,62869
NY,35,362646,0,0,0,312510
NC,10,0,2737,48846,45129,0
OH,23,231709,187421,11406,12194,0
OR,3,5329,4136,5075,218,0
PA,27,268030,16765,0,12776,178871
RI,4,12244,7707,0,0,0
SC,8,0,0,1,0,0
TN,12,0,11281,65097,69728,0
TX,4,0,18,47454,15383,0
VT,5,33808,8649,218,1969,0
VA,15,1887,16198,74325,74481,0
WI,5,86110,65021,887,161,0
