#  Garfield, Hancock, Weaver, Dow
AL,10,56350,91130,4422,0
AR,6,41661,60489,4079,0
CA,6,80282,80426,3381,54
CO,3,27450,24647,1435,0
CT,6,67071,64411,868,409
DE,3,14148,15181,129,0
FL,4,23654,27964,0,0
GA,11,54470,102981,0,0
IL,21,318036,277321,26358,440
IN,15,232164,225522,12986,0
IA,11,183904,105845,32327,592
KS,5,121549,59801,19851,10
KY,12,106490,148875,11506,233
LA,8,38978,65047,437,0
ME,7,74052,65211,4409,92
MD,8,78515,93706,0,0
MA,13,165198,111720,4548,682
MI,11,185335,131597,34895,940
MN,5,93902,53315,3267,286
MS,8,34844,75750,5797,0
MO,15,153647,208600,35042,0
NE,3,54979,28523,3950,0
NV,3,8732,9613,0,0
NH,5,44856,40797,528,180
NJ,9,120555,122565,2617,191
NY,35,555544,534511,12373,1517
NC,10,115616,124204,1126,0
OH,22,375048,340821,6456,2616
OR,3,20619,19955,249,0
PA,29,444704,407428,20668,1939
RI,4,18195,10779,236,20
SC,7,57954,111236,567,0
TN,12,107677,129569,6017,0
TX,8,57893,156428,27405,0
VT,5,45091,18182,1212,0
VA,11,83533,128083,0,0
WV,5,46243,57390,9008,0
WI,10,144398,114644,7986,68
