#  Harding, Cox, Debs, Christensen, Watkins, Ferguson, Cox
AL,12,74556,159965,2369,0,748,0,0
AZ,3,37016,29546,0,0,0,0,0
AR,9,71117,107409,5111,0,0,0,0
CA,13,624992,229191,64076,0,25204,0,0
CO,6,173248,104936,8046,3016,2807,0,0
CT,7,229238,120721,10350,1947,1771,0,1491
DE,3,52858,39911,988,93,986,0,0
FL,6,44853,90515,5189,0,5124,0,0
GA,14,41089,107162,0,0,0,0,0
ID,4,88975,46579,38,0,32,0,0
IL,29,1420480,534395,74747,49630,11216,0,3471
IN,15,696370,511364,24703,16499,13462,0,0
IA,13,634674,227921,16981,10321,4197,0,982
KS,10,369268,185464,15511,0,0,0,0
KY,13,452480,456497,6409,0,3322,0,0
LA,10,38538,87519,0,0,0,0,0
ME,6,136355,58961,2214,0,0,0,0
MD,8,236117,180626,8876,1645,0,0,1178
MA,18,681153,276691,32267,0,0,0,3583
MI,15,762865,233450,28947,10480,9646,0,2539
MN,12,519421,142994,56106,0,11489,0,5828
MS,10,11576,69277,1639,0,0,0,0
MO,18,727162,574799,20242,3291,5142,0,2164
MT,4,109430,57372,0,12204,0,0,0
NE,8,247498,119608,9600,0,5947,0,0
NV,3,15479,9851,1864,0,0,0,0
NH,4,95196,62662,1234,0,0,0,0
NJ,14,611541,256887,27141,2200,4734,0,923
NM,3,57634,46668,0,1104,0,0,0
NY,45,1871167,781238,203201,18413,19653,0,4841
NC,12,232848,305447,446,0,0,0,0
ND,5,160072,37422,8282,0,0,0,0
OH,24,1182022,780037,57147,0,0,0,0
OK,10,243831,217053,25726,0,0,0,0
OR,5,143592,80019,9801,0,3595,0,1515
PA,38,1218216,503843,70571,15704,42696,0,753
RI,5,107463,55062,4351,0,510,0,495
SC,9,2610,64170,28,0,0,0,0
SD,5,110692,35938,0,34707,900,0,0
TN,12,219829,206558,2239,0,0,0,0
TX,20,114538,288767,8121,0,0,47968,0
UT,4,81555,56639,3159,4475,0,0,0
VT,4,68212,20919,0,0,774,0,0
VA,12,87456,141670,807,243,857,0,0
WA,7,223137,84298,8913,77246,3800,0,1321
WV,8,282007,220789,5618,0,1528,0,0
WI,13,498576,113422,80635,0,8647,0,0
WY,3,35091,17429,0,2180,0,0,0
