#  Coolidge, Davis, La Follette, Faris, Foster, Johns
AL,12,45005,112966,8084,538,0,0
AZ,3,30516,26235,17210,0,0,0
AR,9,40564,84795,13173,0,0,0
CA,13,733250,105514,424649,18365,0,0
CO,6,195171,75238,69945,966,562,378
CT,7,246322,110184,42416,0,0,1373
DE,3,52441,33445,4979,0,0,0
FL,6,30633,62083,8625,5498,0,0
GA,14,30300,123200,12691,231,0,0
ID,4,69879,24256,54160,0,0,0
IL,29,1453321,576975,432027,2367,2622,2334
IN,15,703042,492245,71700,4416,987,0
IA,13,537635,162600,272243,0,4037,0
KS,10,407671,156319,98461,0,0,0
KY,13,398966,374855,38465,0,0,1499
LA,10,24670,93218,0,0,0,0
ME,6,138440,41964,11382,0,0,406
MD,8,162414,148072,47157,0,0,987
MA,18,703476,280831,141225,0,2635,1668
MI,15,874631,152359,122014,6085,5330,0
MN,12,420759,55913,339192,0,4427,1855
MS,10,8494,100474,3494,0,0,0
MO,18,648486,572753,84160,1418,0,883
MT,4,74138,33805,66123,0,357,0
NE,8,218585,137289,106701,1594,0,0
NV,3,11243,5909,9769,0,0,0
NH,4,98575,57201,8993,0,0,0
NJ,14,675162,297743,108901,1337,1540,819
NM,3,54745,48542,9543,0,0,0
NY,45,1820058,950796,474913,0,8244,9928
NC,12,191753,284270,6651,13,0,0
ND,5,94931,13858,89922,0,370,0
OH,24,1176130,477888,357948,0,0,3025
OK,10,226242,255798,46375,0,0,0
OR,5,142579,67589,68403,0,0,917
PA,38,1401481,409192,307567,9779,2735,634
RI,5,125286,76606,7628,0,289,268
SC,9,1123,49008,620,0,0,0
SD,5,101299,27214,75355,0,0,0
TN,12,130882,158537,10656,100,0,0
TX,20,130023,484605,42881,0,0,0
UT,4,77327,47001,32662,0,0,0
VT,4,80498,16124,5964,326,0,0
VA,12,73312,139716,10377,0,0,197
WA,7,220224,42842,150727,0,761,1004
WV,8,288635,257232,36723,0,0,0
WI,13,311614,68115,453678,2918,3773,458
WY,3,41858,12868,25174,0,0,0
