#  Trump, Biden, Jorgensen
AL,9,1441170,849378,25176
AK,3,189543,153502,8877
AZ,11,1661686,1672143,51465
AR,6,759749,423518,13132
CA,55,6005961,11109764,187885
CO,9,1364640,1804418,52461
CT,7,715291,1080680,20227
DE,3,200603,296268,5000
DC,3,18172,307265,1977
FL,29,5668731,5297045,70324
GA,16,2461854,2473633,62229
HI,4,196864,366130,5539
ID,4,554128,287031,16404
IL,20,2446167,3471068,66463
IN,11,1729864,1242505,59233
IA,6,897672,759061,19637
KS,6,769301,569670,30481
KY,8,1326424,772291,27731
LA,8,1255776,856034,21645
ME,4,360090,434690,13977
MD,10,976414,1985023,33488
MA,11,1165202,2382202,47103
MI,16,2649852,2804040,60432
MN,10,1483982,1716818,34971
MS,6,756731,539493,8025
MO,10,1718195,1253793,41176
MT,3,343638,245712,15292
NE,5,555551,374184,20228
NV,6,669890,703486,14783
NH,4,365660,424937,13236
NJ,14,1883242,2608318,31677
NM,5,403062,502079,12547
NY,29,3250230,5244006,60369
NC,15,2758773,2684292,48678
ND,3,235695,115107,9538
OH,18,3154834,2679165,67569
OK,7,1020280,503890,24731
OR,7,958180,1340175,41565
PA,20,3377674,3458229,79380
RI,4,199837,306210,5047
SC,9,1385103,1091541,28728
SD,3,261049,150475,11095
TN,11,1852475,1143711,29877
TX,38,5890347,5259126,126243
UT,6,865140,560282,38477
VT,3,112724,242847,3608
VA,13,1962633,2413164,66165
WA,12,1584651,2369612,80500
WV,5,545051,235847,10677
WI,10,1610036,1630503,38190
WY,3,193559,73491,5768
