#  Kennedy, Nixon, unpledged, Hass
AL,11,318303,237981,0,0
AK,3,29809,30953,0,0
AZ,4,176781,221241,0,469
AR,8,215049,184508,0,0
CA,32,3224099,3259722,0,1051
CO,6,330629,402242,0,2803
CT,8,657055,565813,0,0
DE,3,99590,96373,0,82
FL,10,748700,795476,0,0
GA,12,458638,274472,0,0
HI,3,92410,92295,0,0
ID,4,138853,161597,0,0
IL,27,2377846,2368988,0,10560
IN,13,952358,1175120,0,1136
IA,10,550565,722381,0,230
KS,8,363213,561474,0,0
KY,10,521855,602607,0,0
LA,10,407339,230980,169572,0
ME,5,181159,240608,0,0
MD,9,565808,489538,0,0
MA,16,1487174,976750,0,3892
MI,20,1687269,1620428,539,1718
MN,11,779933,757915,0,962
MS,8,108362,73561,116248,0
MO,13,972201,962221,0,0
MT,4,134891,141841,0,0
NE,6,232542,380553,0,0
NV,3,54880,52387,0,0
NH,4,137772,157989,0,0
NJ,16,1385415,1363324,0,4262
NM,4,156027,153733,0,570
NY,45,3830085,3446419,0,0
NC,14,713136,655420,0,0
ND,4,123963,154310,0,0
OH,25,1944248,2217611,0,0
OK,8,370111,533039,0,0
OR,6,367402,408060,0,0
PA,32,2556282,2439956,0,7185
RI,4,258032,147502,0,0
SC,8,198129,188558,0,0
SD,4,128070,178417,0,0
TN,11,481453,556577,0,0
TX,24,1167567,1121310,0,0
UT,4,169248,205361,0,0
VT,3,69186,98131,0,0
VA,12,362327,404521,0,397
WA,9,599298,629273,0,10895
WV,8,441786,395995,0,0
WI,12,830805,895175,0,1310
WY,3,63331,77451,0,0
