#  Van Buren, Harrison, White, Webster, Mangum
AL,7,20638,0,16658,0,0
AR,3,2380,0,1334,0,0
CT,8,19294,18799,0,0,0
DE,3,4154,4736,0,0,0
GA,11,22778,0,24481,0,0
IL,5,18369,15220,0,0,0
IN,9,32478,41281,0,0,0
KY,15,33229,36861,0,0,0
LA,5,3842,0,3583,0,0
ME,10,22825,14803,0,0,0
MD,10,22267,25852,0,0,0
MA,14,33486,0,0,41201,0
MI,3,7122,5545,0,0,0
MS,4,10297,0,9782,0,0
MO,4,10995,0,7337,0,0
NH,7,18697,6228,0,0,0
NJ,8,25592,26137,0,0,0
NY,42,166795,138548,0,0,0
NC,15,26631,0,23521,0,0
OH,21,96238,104958,0,0,0
PA,30,91457,87235,0,0,0
RI,4,2964,2710,0,0,0
SC,11,0,0,0,0,1
TN,15,26170,0,36027,0,0
VT,7,14037,20994,0,0,0
VA,23,30556,0,23384,0,0
