#  Tilden, Hayes, Cooper, Smith
AL,10,102989,68708,0,0
AR,6,58086,38649,211,0
CA,6,76460,79258,47,0
CO,3,0,1,0,0
CT,6,61927,59033,774,374
DE,3,13381,10752,0,0
FL,4,22927,23849,0,0
GA,11,130157,50533,0,0
IL,21,258611,278232,17207,0
IN,15,213526,208011,17233,141
IA,11,112121,171326,9431,0
KS,5,37902,78324,7770,110
KY,12,160060,97568,0,0
LA,8,70508,75315,0,0
ME,7,49917,66300,0,0
MD,8,91779,71980,0,0
MA,13,108777,150064,0,0
MI,11,141685,166901,9023,766
MN,5,48587,72955,2389,144
MS,8,112173,52603,0,0
MO,15,202086,145027,3497,0
NE,3,17413,31915,0,0
NV,3,9308,10383,0,0
NH,5,38510,41540,0,0
NJ,9,115962,103517,714,0
NY,35,521949,489207,1978,2369
NC,10,125427,108484,0,0
OH,22,323182,330698,3057,1636
OR,3,14157,15214,510,0
PA,29,366204,384184,7204,1318
RI,4,10712,15787,68,60
SC,7,90897,91786,0,0
TN,12,133177,89566,0,0
TX,8,104755,44800,0,0
VT,5,20254,44091,0,0
VA,11,140770,95518,0,0
WV,5,56546,41997,1104,0
WI,10,123926,130067,1509,27
