#  Carter, Ford, McCarthy, MacBride
AL,9,659170,504070,0,1481
AK,3,44058,71555,0,6785
AZ,6,295602,418642,19229,7647
AR,6,499614,268753,647,0
CA,45,3742284,3882244,58412,56388
CO,7,460353,584367,26107,5330
CT,8,647895,719261,0,0
DE,3,122596,109831,2437,0
DC,3,137818,27873,0,274
FL,17,1636000,1469531,23643,103
GA,12,979409,483743,991,175
HI,4,147375,140003,0,3923
ID,4,126549,204151,0,3558
IL,26,2271295,2364269,55939,8057
IN,13,1014714,1183958,0,0
IA,8,619931,632863,20051,1452
KS,7,430421,502752,13185,3242
KY,9,615717,531852,6837,814
LA,10,661365,587446,6588,3325
ME,4,232279,236320,10874,10
MD,10,759612,672661,0,0
MA,14,1429475,1030276,65637,135
MI,21,1696714,1893742,47905,5406
MN,10,1070440,819395,35490,3529
MS,7,381309,366846,4074,2787
MO,12,998387,927443,24029,0
MT,4,149259,173703,0,0
NE,5,233692,359705,9409,1482
NV,3,92479,101273,0,1519
NH,4,147635,185935,4095,936
NJ,17,1444653,1509688,32717,9449
NM,4,201148,211419,0,1110
NY,41,3389558,3100791,0,12197
NC,13,927365,741960,0,2219
ND,3,136078,153470,2952,256
OH,25,2011621,2000505,58258,8961
OK,8,532442,545708,14101,0
OR,6,490407,492120,40207,0
PA,27,2328677,2205604,50584,0
RI,4,227636,181249,479,715
SC,8,450825,346140,0,0
SD,4,147068,151505,0,1619
TN,10,825879,633969,5004,1375
TX,26,2082319,1953300,20118,263
UT,4,182110,337908,3907,2438
VT,3,81044,102085,4001,4
VA,12,813896,836554,0,4648
WA,9,717323,777732,36986,5042
WV,6,435914,314760,0,0
WI,11,1040232,1004987,34943,3814
WY,3,62239,92717,624,89
