#  Buchanan, Fremont, Fillmore
AL,9,46739,0,28552
AR,4,21910,0,10732
CA,4,53342,20704,36195
CT,6,34997,42717,2615
DE,3,8004,310,6275
FL,3,6358,0,4833
GA,10,56581,0,42439
IL,11,105528,96275,37531
IN,13,118670,94375,22386
IA,4,37568,45073,9669
KY,12,74642,0,67416
LA,6,22164,0,20709
ME,8,39140,67279,3270
MD,8,39123,285,47452
MA,13,39244,108172,19626
MI,6,52139,71762,1660
MS,7,35456,0,24191
MO,9,57964,0,48522
NH,5,31891,37473,410
NJ,7,46943,28338,24115
NY,35,195878,276004,124604
NC,10,48243,0,36720
OH,23,170874,187497,28126
PA,27,230686,147286,82189
RI,4,6680,11467,1675
SC,8,1,0,0
TN,12,69704,0,63878
TX,4,31169,0,15639
VT,5,10577,39561,545
VA,15,90083,0,60150
WI,5,52843,66090,579
