#  Johnson, Goldwater, unpledged, Hass
AL,10,0,479085,210732,0
AK,3,44329,22930,0,0
AZ,5,237753,242535,0,482
AR,6,314197,243264,0,0
CA,40,4171877,2879108,0,489
CO,6,476024,296767,0,302
CT,8,826269,390996,0,0
DE,3,122704,78078,0,113
DC,3,169796,28801,0,0
FL,14,948540,905941,0,0
GA,12,522557,616584,0,0
HI,4,163249,44022,0,0
ID,4,148920,143557,0,0
IL,26,2796833,1905946,0,0
IN,13,1170848,911118,0,1374
IA,9,733030,449148,0,182
KS,7,464028,386579,0,1901
KY,9,669659,372977,0,0
LA,10,387068,509225,0,0
ME,4,262264,118701,0,0
MD,10,730912,385495,0,1
MA,14,1786422,549727,0,4755
MI,21,2136615,1060152,0,1704
MN,10,991117,559624,0,2544
MS,7,52618,356528,0,0
MO,12,1164344,653535,0,0
MT,4,164246,113032,0,0
NE,5,307307,276847,0,0
NV,3,79339,56094,0,0
NH,4,184064,104029,0,0
NJ,17,1867671,963843,0,7075
NM,4,194017,131838,0,1217
NY,43,4913156,2243559,0,6085
NC,13,800139,624844,0,0
ND,4,149784,108207,0,0
OH,26,2498331,1470865,0,0
OK,8,519834,412665,0,0
OR,6,501017,282779,0,0
PA,29,3130954,1673657,0,5092
RI,4,315463,74615,0,2
SC,8,215700,309048,0,0
SD,4,163010,130108,0,0
TN,11,634947,508965,0,0
TX,25,1663185,958566,0,0
UT,4,219628,180682,0,0
VT,3,108127,54942,0,0
VA,12,558038,481334,0,2895
WA,9,779881,470366,0,7772
WV,7,538087,253953,0,0
WI,12,1050424,638495,0,1204
WY,3,80718,61998,0,0
