#  Bush, Gore, Nader
AL,9,941173,692611,18323
AK,3,167398,79004,28747
AZ,8,781652,685341,45645
AR,6,472940,422768,13421
CA,54,4567429,5861203,418707
CO,8,883748,738227,91434
CT,8,561094,816015,64452
DE,3,137288,180068,8307
DC,3,18073,171923,10576
FL,25,2912790,2912253,97488
GA,13,1419720,1116230,0
HI,4,137845,205286,21623
ID,4,336937,138637,12292
IL,22,2019421,2589026,103759
IN,12,1245836,901980,0
IA,7,634373,638517,29374
KS,6,622332,399276,36086
KY,8,872520,638923,23118
LA,9,927871,792344,20473
ME,4,286616,319951,37127
MD,10,770911,1093344,51078
MA,12,878502,1616487,173564
MI,18,1953139,2170418,84165
MN,10,1109659,1168266,126696
MS,7,558884,392587,7904
MO,11,1189924,1111138,38515
MT,3,240178,137126,24437
NE,5,433862,231780,24540
NV,4,301575,279978,15008
NH,4,273559,266348,22188
NJ,15,1284173,1788850,94554
NM,5,286417,286783,21251
NY,33,2258577,3942215,244030
NC,14,1631163,1257692,0
ND,3,174852,95284,7288
OH,21,2350363,2183628,117799
OK,8,744337,474276,0
OR,7,713577,720342,77357
PA,23,2281127,2485967,103392
RI,4,130555,249508,25052
SC,8,786892,566039,20279
SD,3,190700,118804,0
TN,11,1061949,981720,19781
TX,32,3799639,2433746,137394
UT,5,515096,203053,35850
VT,3,119775,149022,20374
VA,13,1437490,1217290,59398
WA,11,1108864,1247652,103002
WV,5,336475,295497,10455
WI,11,1237279,1242987,94070
WY,3,147674,60421,0
