# Trump, Stein, Kennedy, Oliver
AL,9,1462616,772412,4319,12075,4930
AK,3,184458,140026,2342,5670,3040
AZ,11,1770242,1582860,18319,0,0
AR,6,759241,396905,4275,13255,5715
CA,54,6081697,9276179,167814,197645,66662
CO,10,1377441,1728159,17344,35623,21439
CT,7,736918,992053,14281,8448,6729
DE,3,214351,289758,914,4636,2038
DC,3,21076,294185,0,0,0
FL,30,6110125,4683038,43155,0,0
GA,16,2663117,2548017,18229,0,0
HI,4,193661,313044,4387,0,0
ID,4,605246,274972,2973,12812,4462
IL,19,2449079,3062863,31023,80426,3510
IN,11,1720347,1163603,0,0,0
IA,6,927019,707278,0,0,0
KS,6,758802,544853,0,0,0
KY,8,1337494,704043,7566,16769,6422
LA,8,1208505,766870,7138,6641,6835
ME,4,377977,435652,8967,0,0
MD,10,1035550,1902577,33134,28819,15570
MA,11,1251303,2126518,26545,0,0
MI,15,2816636,2736533,44607,26785,22440
MN,10,1519032,1656979,16275,24001,15155
MS,6,747744,466668,1873,5387,2536
MO,10,1751986,1200599,17135,0,0
MT,4,352079,231906,2878,11825,4275
NE,5,564816,369995,2887,0,0
NV,6,751205,705197,0,0,0
NH,4,395523,418488,3680,0,0
NJ,14,1968215,2220713,39041,23479,10500
NM,5,423391,478802,4611,9553,3745
NY,28,3578899,4619195,46698,0,0
NC,16,2898423,2715375,24762,0,0
ND,3,246505,112327,0,0,0
OH,17,3180116,2533699,0,0,0
OK,7,1036213,499599,0,0,0
OR,8,919480,1240600,19099,33733,9061
PA,19,3543308,3423042,34538,0,0
RI,4,214406,285156,2900,5045,1617
SC,9,1483747,1028452,8117,0,0
SD,3,272081,146859,0,0,0
TN,11,1966865,1056265,8967,21535,0
TX,40,6393597,4835250,82701,0,0
UT,6,883818,562566,8222,0,0
VT,3,119395,235791,893,5905,1828
VA,13,2075085,2335395,34888,0,0
WA,12,1530923,2245849,29754,54868,16428
WV,4,533556,214309,2531,8947,3047
WI,10,1697626,1668229,12275,17740,10511
WY,3,192633,69527,0,0,0
