#  Clinton, Dole, Perot
AL,9,662165,769044,92149
AK,3,80380,122380,26333
AZ,8,653288,622073,112072
AR,6,475171,325416,69884
CA,54,5119835,3828380,697847
CO,8,671152,691848,99629
CT,8,735740,483109,139523
DE,3,140355,99062,28719
DC,3,158220,17339,3611
FL,25,2546870,2244536,483870
GA,13,1053849,1080843,146337
HI,4,205012,113943,27358
ID,4,165443,256595,62518
IL,22,2341744,1587021,346408
IN,12,887424,1006693,224299
IA,7,620258,492644,105159
KS,6,387659,583245,92639
KY,8,636614,623283,120396
LA,9,927837,712586,123293
ME,4,312788,186378,85970
MD,10,966207,681530,115812
MA,12,1571763,718107,227217
MI,18,1989653,1481212,336670
MN,10,1120438,766476,257704
MS,7,394022,439838,52222
MO,11,1025935,890016,217188
MT,3,167922,179652,55229
NE,5,236761,363467,71278
NV,4,203974,199244,43986
NH,4,246214,196532,48390
NJ,15,1652329,1103078,262134
NM,5,273495,232751,32257
NY,33,3756177,1933492,503458
NC,14,1107849,1225938,168059
ND,3,106905,125050,32515
OH,21,2148222,1859883,483207
OK,8,488105,582315,130788
OR,7,649641,538152,121221
PA,23,2215819,1801169,430984
RI,4,233050,104683,43723
SC,8,506283,573458,64386
SD,3,139333,150543,31250
TN,11,909146,863530,105918
TX,32,2459683,2736167,378537
UT,5,221633,361911,66461
VT,3,137894,80352,31024
VA,13,1091060,1183350,159861
WA,11,1123323,840712,201003
WV,5,327812,233946,71639
WI,11,1071971,845029,227339
WY,3,77934,105388,25928
