#  Reagan, Carter, Anderson, Clark
AL,9,654192,636730,16481,13318
AK,3,86112,41842,11155,18479
AZ,6,529688,246843,76952,18784
AR,6,403164,398041,22468,8970
CA,45,4524858,3083661,739833,148434
CO,7,652264,367973,130633,25744
CT,8,677210,541732,171807,8570
DE,3,111252,105754,16288,1974
DC,3,23313,130231,16131,1104
FL,17,2046951,1419475,189692,30524
GA,12,654168,890733,36055,15627
HI,4,130112,135879,32021,3269
ID,4,290699,110192,27058,8425
IL,26,2358049,1981413,346754,38939
IN,13,1255656,844197,111639,19627
IA,8,676026,508672,115633,13123
KS,7,566812,326150,68231,14470
KY,9,635274,616417,31127,5531
LA,10,792853,708453,26345,8240
ME,4,238522,220974,53327,5119
MD,10,680606,726161,119537,14192
MA,14,1057631,1053802,382539,22038
MI,21,1915225,1661532,275223,41597
MN,10,873241,954174,174990,31592
MS,7,441089,429281,12036,5465
MO,12,1074181,931182,77920,14422
MT,4,206814,118032,29281,9825
NE,5,419937,166851,44993,9073
NV,3,155017,66666,17651,4358
NH,4,221705,108864,49693,2067
NJ,17,1546557,1147364,234632,20652
NM,4,250779,167826,29459,4365
NY,41,2893831,2728372,467801,52648
NC,13,915018,875635,52800,9677
ND,3,193695,79189,23640,3743
OH,25,2206545,1752414,254472,49033
OK,8,695570,402026,38284,13828
OR,6,571044,456890,112389,25838
PA,27,2261872,1937540,292921,33263
RI,4,154793,198342,59819,2458
SC,8,441207,427560,14150,4975
SD,4,198343,103855,21431,3824
TN,10,787761,783051,35991,7116
TX,26,2510705,1881147,111613,37643
UT,4,439687,124266,30284,7226
VT,3,94598,81891,31760,1900
VA,12,989609,752174,95418,12821
WA,9,865244,650193,185073,29213
WV,6,334206,367462,31691,4356
WI,11,1088845,981584,160657,29135
WY,3,110700,49427,12072,4514
