#  Grant, Greeley, O'Conor
AL,10,90272,79444,0
AR,6,41373,37927,0
CA,6,54007,40717,1061
CT,6,50314,45695,0
DE,3,11129,10205,488
FL,4,17763,15427,0
GA,11,62550,76356,0
IL,21,241936,184884,3151
IN,15,186147,163632,1417
IA,11,131566,81636,2221
KS,5,66805,32970,156
KY,12,88766,99995,2374
LA,8,71663,57029,0
ME,7,61426,29097,0
MD,8,66760,67687,0
MA,13,133455,59195,0
MI,11,138758,78551,2875
MN,5,55708,35211,0
MS,8,82175,47282,0
MO,15,119196,151434,2429
NE,3,18329,7603,0
NV,3,8413,6236,0
NH,5,37168,31425,0
NJ,9,91656,76456,0
NY,35,440738,387282,0
NC,10,94772,70130,261
OH,22,281852,244321,1163
OR,3,11818,7742,587
PA,29,349589,212041,0
RI,4,13665,5329,0
SC,7,72290,22699,204
TN,12,85655,93391,0
TX,8,47468,66546,2580
VT,5,41480,10926,553
VA,11,93463,91647,85
WV,5,32320,29532,615
WI,10,104994,86477,834
