#  Taylor, Cass, Van Buren
AL,9,30482,31173,0
AR,3,7587,9301,0
CT,6,30318,27051,5005
DE,3,6440,5910,82
FL,3,4120,3083,0
GA,10,47532,44785,0
IL,9,52853,55952,15702
IN,12,69907,74745,8100
IA,4,9930,11238,1103
KY,12,67145,49720,0
LA,6,18487,15379,0
ME,9,35273,40195,12157
MD,8,37702,34528,129
MA,12,61072,35281,38333
MI,5,23947,30742,10393
MS,6,25911,26545,0
MO,7,32671,40077,0
NH,6,14781,27763,7560
NJ,7,40015,36901,819
NY,36,218583,114319,120497
NC,11,44054,35772,0
OH,23,138359,154773,35347
PA,26,185313,171976,11263
RI,4,6779,3646,730
SC,9,0,1,0
TN,13,64321,58142,0
TX,4,4509,10668,0
VT,6,23132,10948,13837
VA,17,45265,46739,0
WI,4,13747,15001,10418
