#  Bush, Dukakis, Paul, Fulani
AL,9,815576,549506,8460,3311
AK,3,119251,72584,5484,1024
AZ,7,702541,454029,13351,1662
AR,6,466578,349237,3297,2161
CA,47,5054917,4702233,70105,31180
CO,8,728177,621453,15482,2539
CT,8,750241,676584,14071,2491
DE,3,139639,108647,1162,443
DC,3,27590,159407,554,2901
FL,21,2618885,1656701,19796,6655
GA,12,1081331,714792,8435,5099
HI,4,158625,192364,1999,1003
ID,4,253881,147272,5313,2502
IL,24,2310939,2215940,14944,10276
IN,12,1297763,860643,–,10215
IA,8,545355,670557,2494,540
KS,7,554049,422636,12553,3806
KY,9,734281,580368,2118,1256
LA,10,883702,734281,4115,2355
ME,4,307131,243569,2700,1405
MD,10,876167,826304,6748,5115
MA,13,1194644,1401406,24251,9561
MI,20,1965486,1675783,18336,2513
MN,10,962337,1109471,5109,1734
MS,7,557890,363921,3329,2155
MO,11,1084953,1001619,–,6656
MT,4,190412,168936,5047,1279
NE,5,398447,259646,2536,1743
NV,4,206040,132738,3520,835
NH,4,281537,163696,4502,790
NJ,16,1743192,1320352,8421,5139
NM,5,270341,244497,3268,2237
NY,36,3081871,3347882,12109,15845
NC,13,1237258,890167,1263,5682
ND,3,166559,127739,1315,396
OH,23,2416549,1939629,11989,12017
OK,8,678367,483423,6261,2985
OR,7,560126,616206,14811,6487
PA,25,2300087,2194944,12051,4379
RI,4,177761,225123,825,280
SC,8,606443,370554,4935,4077
SD,3,165415,145560,1060,730
TN,11,947233,679794,2041,1334
TX,29,3036829,2352748,30355,7208
UT,5,428442,207343,7473,455
VT,3,124331,115775,1003,205
VA,12,1309162,859799,8336,14312
WA,10,903835,933516,17240,3520
WV,6,310065,341016,–,2230
WI,11,1047499,1126794,5157,1953
WY,3,106867,67113,2026,545
