#  Eisenhower, Stevenson, Hallinan, Hamblen, Hass
AL,11,149231,275075,0,1814,0
AZ,4,152042,108528,0,0,0
AR,8,177155,226300,0,886,1
CA,32,3035587,2257646,24692,16117,273
CO,6,379782,245504,1919,0,352
CT,8,611012,481649,1466,0,535
DE,3,90059,83315,155,234,242
FL,10,544036,444950,0,0,0
GA,12,198979,456823,0,0,0
ID,4,180707,95081,443,0,0
IL,27,2457327,2013920,0,0,9363
IN,13,1136259,801530,1222,15335,979
IA,10,808906,451513,5085,2882,139
KS,8,616302,273296,0,6038,0
KY,10,495029,495729,336,1161,893
LA,10,306925,345027,0,0,0
ME,5,232353,118806,332,0,156
MD,9,499424,395337,7313,0,0
MA,16,1292325,1083525,4636,886,1957
MI,20,1551529,1230657,3922,10331,1495
MN,11,763211,608458,2666,2147,2383
MS,8,112966,172566,0,0,0
MO,13,959429,929830,987,885,169
MT,4,157394,106213,723,548,0
NE,6,421603,188057,0,0,0
NV,3,50502,31688,0,0,0
NH,4,166287,106663,0,0,0
NJ,16,1374613,1015902,5589,989,5815
NM,4,132170,105661,225,297,35
NY,45,3952815,3104601,64211,0,1560
NC,14,558107,652803,0,0,0
ND,4,191712,76694,344,302,0
OH,25,2100391,1600367,0,0,0
OK,8,518045,430939,0,0,0
OR,6,420815,270579,3665,0,0
PA,32,2415789,2146269,4222,8951,1377
RI,4,210935,203293,187,0,83
SC,8,168082,173004,0,0,0
SD,4,203857,90426,0,0,0
TN,11,446147,443710,885,1432,0
TX,24,1102878,969228,294,1983,0
UT,4,194190,135364,0,0,0
VT,3,109717,43355,282,0,0
VA,12,349037,268677,311,0,1160
WA,9,599107,492845,2460,0,633
WV,8,419970,453578,0,0,0
WI,12,979744,622175,2174,0,770
WY,3,81047,47934,0,194,36
