#  Polk, Clay, Birney
AL,9,37401,26002,0
AR,3,9546,5604,0
CT,6,29841,32832,1943
DE,3,5970,6271,0
GA,10,44147,42100,0
IL,9,58795,45854,3469
IN,12,70181,67867,2106
KY,12,51988,61249,0
LA,6,13782,13083,0
ME,9,45719,34378,4836
MD,8,32706,35984,0
MA,12,53039,67062,10830
MI,5,27737,24375,3639
MS,6,25846,19158,0
MO,7,41322,31200,0
NH,6,27160,17866,4161
NJ,7,37495,38318,131
NY,36,237588,232482,15812
NC,11,39287,43232,0
OH,23,149061,155113,8050
PA,26,167447,161125,3000
RI,4,4867,7322,107
SC,9,1,0,0
TN,13,59917,60040,0
VT,6,18049,26780,3970
VA,17,50679,44860,0
