#  Bush, Kerry, Nader, Badnarik, Peroutka
AL,9,1176394,693933,6701,3529,1994
AK,3,190889,111025,5069,1675,2092
AZ,10,1104294,893524,2773,11856,0
AR,6,572898,469953,6171,2352,2083
CA,55,5509826,6745485,20714,50165,26645
CO,9,1101255,1001732,12718,7664,2562
CT,7,693826,857488,12969,3367,1543
DE,3,171660,200152,2153,586,289
DC,3,21256,202970,1485,502,0
FL,27,3964522,3583544,32971,11996,6626
GA,15,1914254,1366149,2231,18387,580
HI,4,194191,231708,0,1377,0
ID,4,409235,181098,1115,3844,3084
IL,21,2345946,2891550,3571,32442,440
IN,11,1479438,969011,1328,18058,0
IA,7,751957,741898,5973,2992,1304
KS,6,736456,434993,9348,4013,2899
KY,8,1069439,712733,8856,2619,2213
LA,9,1102169,820299,7032,2781,5203
ME,4,330201,396842,8069,1965,735
MD,10,1024703,1334493,11854,6094,3421
MA,12,1071109,1803800,4806,15022,0
MI,17,2313746,2479183,24035,10552,4980
MN,10,1346695,1445014,18683,4639,3074
MS,6,684981,458094,3177,1793,1759
MO,11,1455713,1259171,1294,9831,5355
MT,3,266063,173710,6168,1733,1764
NE,5,512814,254328,5698,2041,1314
NV,5,418690,397190,4838,3176,1152
NH,4,331237,340511,4479,372,161
NJ,15,1670003,1911430,19418,4514,2750
NM,5,376930,370942,4053,2382,771
NY,31,2962567,4314280,99873,11607,207
NC,15,1961166,1525849,1805,11731,0
ND,3,196651,111052,3756,851,514
OH,20,2859768,2741167,0,14676,11939
OK,7,959792,503966,0,0,0
OR,7,866831,943163,0,7260,5257
PA,21,2793847,2938095,2656,21185,6318
RI,4,169046,259765,4651,907,339
SC,8,937974,661699,5520,3608,5317
SD,3,232584,149244,4320,964,1103
TN,11,1384375,1036477,8992,4866,2570
TX,34,4526917,2832704,9159,38787,1636
UT,5,663742,241199,11305,3375,6841
VT,3,121180,184067,4494,1102,0
VA,13,1716959,1454742,2393,11032,10161
WA,11,1304894,1510201,23283,11955,3922
WV,5,423778,326541,4063,1405,82
WI,10,1478120,1489504,16390,6464,0
WY,3,167629,70776,2741,1171,631
