#  Obama, Romney, Johnson
AL,9,795696,1255925,12328
AK,3,122640,164676,7392
AZ,11,1025232,1233654,32100
AR,6,394409,647744,16276
CA,55,7854285,4839958,143221
CO,9,1323101,1185243,35545
CT,7,905083,634892,12580
DE,3,242584,165484,3882
DC,3,267070,21381,2083
FL,29,4237756,4163447,44726
GA,16,1773827,2078688,45324
HI,4,306658,121015,3840
ID,4,212787,420911,9453
IL,20,3019512,2135216,56229
IN,11,1152887,1420543,50111
IA,6,822544,730617,12926
KS,6,440726,692634,20456
KY,8,679370,1087190,17063
LA,8,809141,1152262,18157
ME,4,401306,292276,9352
MD,10,1677844,971869,30195
MA,11,1921290,1188314,30920
MI,16,2564569,2115256,7774
MN,10,1546167,1320225,35098
MS,6,562949,710746,6676
MO,10,1223796,1482440,43151
MT,3,201839,267928,14165
NE,5,302081,475064,11109
NV,6,531373,463567,10968
NH,4,369561,329918,8212
NJ,14,2125101,1477568,21045
NM,5,415335,335788,27788
NY,29,4485741,2490431,47256
NC,15,2178391,2270395,44515
ND,3,124827,188163,5231
OH,18,2827710,2661433,49493
OK,7,443547,891325,0
OR,7,970488,754175,24089
PA,20,2990274,2680434,49991
RI,4,279677,157204,4388
SC,9,865941,1071645,16321
SD,3,145039,210610,5795
TN,11,960709,1462330,18623
TX,38,3308124,4569843,88580
UT,6,251813,740600,12572
VT,3,199239,92698,3487
VA,13,1971820,1822522,31216
WA,12,1755396,1290670,42202
WV,5,238269,417655,6302
WI,10,1620985,1407966,20439
WY,3,69286,170962,5326
