#  Nixon, Humphrey, Wallace
AL,10,146923,196579,691425
AK,3,37600,35411,10024
AZ,5,266721,170514,46573
AR,6,189062,184901,235627
CA,40,3467664,3244318,487270
CO,6,409345,335174,60813
CT,8,556721,621561,76650
DE,3,96714,89194,28459
DC,3,31012,139566,0
FL,14,886804,676794,624207
GA,12,380111,334440,535550
HI,4,91425,141324,3469
ID,4,165369,89273,36541
IL,26,2174774,2039814,390958
IN,13,1067885,806659,243108
IA,9,619106,476699,66422
KS,7,478674,302996,88921
KY,9,462411,397541,193098
LA,10,257535,309615,530300
ME,4,169254,217312,6370
MD,10,517995,538310,178734
MA,14,766844,1469218,87088
MI,21,1370665,1593082,331968
MN,10,658643,857738,68931
MS,7,88516,150644,415349
MO,12,811932,791444,206126
MT,4,138835,114117,20015
NE,5,321163,170784,44904
NV,3,73188,60598,20432
NH,4,154903,130589,11173
NJ,17,1325467,1264206,262187
NM,4,169692,130081,25737
NY,43,3007932,3378470,358864
NC,13,627192,464113,496188
ND,4,138669,94769,14244
OH,26,1791014,1700586,467495
OK,8,449697,301658,191731
OR,6,408433,358866,49683
PA,29,2090017,2259405,378582
RI,4,122359,246518,15678
SC,8,254062,197486,215430
SD,4,149841,118023,13400
TN,11,472592,351233,424792
TX,25,1227844,1266804,584269
UT,4,238728,156665,26906
VT,3,85142,70255,5104
VA,12,590319,442387,321833
WA,9,588510,616037,96990
WV,7,307555,374091,72560
WI,12,809997,748804,127835
WY,3,70927,45173,11105
