#  Roosevelt, Curtis, Thomas
AL,11,207910,34675,2030
AZ,3,79264,36104,2618
AR,9,189602,28467,1269
CA,22,1324157,847902,63299
CO,6,250877,189617,13591
CT,8,281632,288420,20840
DE,3,54319,57073,1376
FL,7,206307,69170,775,0
GA,12,234118,19863,461
ID,4,109479,71417,526
IL,29,1882304,1432756,67258
IN,14,862054,677184,21388
IA,11,598019,414433,20467
KS,9,424204,349498,18276,0
KY,11,580574,394716,3853
LA,10,249418,18853,0
ME,5,128907,166631,2489
MD,8,314314,184184,10489
MA,17,800148,736959,34305
MI,19,871700,739894,39205
MN,11,600806,363959,25476
MS,9,140168,5180,686,0
MO,15,1025406,564713,16374
MT,4,127286,78078,7891
NE,7,359082,201177,9876
NV,3,28756,12674,0,0
NH,4,100680,103629,947
NJ,16,806394,775406,42988
NM,3,95089,54217,1776
NY,47,2534959,1937963,177397
NC,13,497566,208344,5591,0
ND,4,178350,71772,3521
OH,26,1301695,1227319,64094
OK,11,516468,188165,0,0
OR,5,213871,136019,15450
PA,36,1295948,1453540,91223
RI,4,146604,115266,3138
SC,8,102347,1978,82,0
SD,4,183515,99212,1551
TN,11,259473,126752,1796
TX,23,760348,97959,4450
UT,4,116750,84795,4087
VT,3,56266,78984,1533
VA,11,203979,89637,2382
WA,8,353260,208645,17080
WV,8,405124,330731,5133
WI,12,707410,347741,53379
WY,3,54370,39583,2829
