#  Bush, Clinton, Perot
AL,9,804283,690080,183109
AK,3,102000,78295,73481
AZ,8,572086,543050,353741
AR,6,337324,505823,99132
CA,54,3630566,5121249,2296004
CO,8,562850,629681,366010
CT,8,578313,682318,348771
DE,3,102313,126054,59213
DC,3,20698,192619,9681
FL,25,2171781,2071651,1052481
GA,13,995252,1008966,309657
HI,4,136822,179310,53005
ID,4,202645,137013,130395
IL,22,1734096,2453350,840515
IN,12,939375,848420,455934
IA,7,504891,586353,253468
KS,6,449469,389704,311316
KY,8,617178,665104,203944
LA,9,733386,815971,211478
ME,4,206504,263420,206820
MD,10,707094,988571,281414
MA,12,805039,1318639,630731
MI,18,1554940,1871182,824813
MN,10,747841,1020997,562506
MS,7,487793,400268,105045
MO,11,811159,1053873,518741
MT,3,144207,154507,107225
NE,5,343678,216864,174104
NV,4,175828,189148,132580
NH,4,202484,209040,121337
NJ,15,1356865,1436206,521829
NM,5,212824,261617,91895
NY,33,2346649,3444450,1090721
NC,14,1134661,1114042,357864
ND,3,136244,99168,71084
OH,21,1894942,1984942,1036426
OK,8,592929,473066,319878
OR,7,475757,621314,354091
PA,23,1791841,2239164,902667
RI,4,131601,213299,105045
SC,8,577508,479514,138782
SD,3,136718,124888,73295
TN,11,841300,933521,199968
TX,32,2496071,2281815,1354781
UT,5,322632,203400,183429
VT,3,88122,133592,65991
VA,13,1150517,1038650,348639
WA,11,731234,993037,541780
WV,5,241974,331001,108829
WI,11,930855,1041066,544479
WY,3,79347,68160,51263
