#  McKinley, Bryan, Palmer, Levering, Matchett, Bentley
AL,11,55673,130298,6375,2234,0,0
AR,8,37512,110103,0,839,0,893
CA,9,146688,144766,1730,2573,1611,1047
CO,4,26271,161005,1,1717,159,386
CT,6,110285,56740,4336,1806,1223,0
DE,3,20450,16574,966,466,0,0
FL,4,11298,32756,1778,656,0,0
GA,13,59395,93885,3670,5483,0,0
ID,3,6314,23135,0,172,0,0
IL,24,607130,465613,6390,9796,1147,793
IN,15,323754,305573,2145,3056,324,2267
IA,13,289293,223741,4516,3192,453,352
KS,10,159345,171675,1209,1698,0,620
KY,13,218171,217894,5084,4779,0,0
LA,8,22037,77175,1834,0,0,0
ME,6,80403,34587,1867,1562,0,0
MD,8,136959,104150,2499,5918,587,136
MA,15,278976,105711,11749,2998,2114,0
MI,14,293336,237166,6923,4978,293,1816
MN,9,193503,139735,3222,4348,954,0
MS,9,4819,63355,1021,396,0,0
MO,17,304940,363667,2365,2043,599,292
MT,3,10509,42628,0,193,0,0
NE,8,103064,115007,2885,1243,186,797
NV,3,1938,8376,0,0,0,0
NH,4,57444,21650,3520,779,228,49
NJ,10,221535,133695,6378,0,3986,5617
NY,36,819838,551369,18950,16052,17667,0
NC,11,155122,174408,578,635,0,222
ND,3,26335,20686,0,358,0,0
OH,23,525991,477497,1858,5068,1165,2716
OR,4,48779,46739,977,919,0,0
PA,32,728300,433228,11000,19274,1683,870
RI,4,37437,14459,1166,1160,558,0
SC,9,9313,58801,824,0,0,0
SD,4,41042,41225,0,683,0,0
TN,12,148683,167168,1953,3099,0,0
TX,15,167520,370434,5046,1786,0,0
UT,3,13491,64607,0,0,0,0
VT,4,51127,10640,1331,733,0,0
VA,12,135379,154708,2129,2350,108,0
WA,4,39153,53314,0,968,0,148
WV,6,105379,94480,678,1220,0,0
WI,12,268135,165523,4584,7507,1314,346
WY,3,10072,10861,0,159,0,0
