#  McKinley, Bryan, Woolley, Debs, Barker, Malloney
AL,11,55612,97129,2763,0,4188,0
AR,8,44800,81142,584,0,972,0
CA,9,164755,124985,5024,0,0,7554
CO,4,93072,122733,3790,714,389,684
CT,6,102572,74014,1617,1029,0,908
DE,3,22535,18852,546,56,0,0
FL,4,7355,28273,2244,634,1143,0
GA,13,34260,81180,1402,0,4568,0
ID,3,27198,29414,857,0,445,0
IL,24,597985,503061,17626,9687,1141,1373
IN,15,336063,309584,13718,2374,1438,663
IA,13,307808,209265,9502,2742,613,259
KS,10,185955,162601,3605,1605,0,0
KY,13,227132,235126,2890,766,1961,390
LA,8,14234,53668,0,0,0,0
ME,6,65412,36822,2581,878,0,0
MD,8,136185,122238,4574,904,0,388
MA,15,238866,156997,6202,9607,0,2599
MI,14,316269,211685,11859,2826,903,837
MN,9,190461,112901,8555,3065,0,1329
MS,9,5707,51706,0,0,1642,0
MO,17,314092,351922,5965,6139,4244,1294
MT,3,25409,37311,306,711,0,119
NE,8,121835,114013,3655,823,1104,0
NV,3,3849,6347,0,0,0,0
NH,4,54799,35489,1270,790,0,0
NJ,10,221707,164808,7183,4609,669,2074
NY,36,822013,678462,22077,12869,0,12621
NC,11,132997,157733,990,0,798,0
ND,3,35898,20531,2536,1494,275,0
OH,23,543918,474882,10203,4847,251,1688
OR,4,46172,32810,2536,1464,269,0
PA,32,712665,424232,27908,4831,638,2936
RI,4,33784,19812,1529,0,0,1423
SC,9,3579,47233,0,0,0,0
SD,4,54530,39544,1542,169,339,0
TN,12,123108,145240,3844,346,1322,0
TX,15,130641,267432,2644,1846,20981,162
UT,3,47139,45006,209,720,0,106
VT,4,42569,12849,383,39,367,0
VA,12,115769,146079,2130,0,63,167
WA,4,57456,44833,2363,2006,0,866
WV,6,119829,98807,1628,286,246,0
WI,12,265760,159163,10027,7048,0,503
WY,3,14482,10164,0,21,20,0
