#  Roosevelt, Parker, Debs, Swallow, Watson, Corregan
AL,11,22472,79797,853,612,5051,0
AR,9,46860,64434,1816,993,2318,0
CA,10,205226,89404,29535,7380,2,0
CO,5,134661,100105,4304,3438,824,335
CT,7,111089,72909,4543,1506,495,575
DE,3,23705,19347,146,607,51,0
FL,5,8314,26449,2337,0,1605,0
GA,13,24004,83466,196,685,22635,0
ID,3,47783,18480,4949,1013,353,0
IL,27,632645,327606,69225,34770,6725,4698
IN,15,368289,274345,12013,23496,2444,1598
IA,13,308158,149276,14849,11603,2207,0
KS,10,212955,86174,15869,7306,6257,0
KY,13,205457,217170,3599,6603,2521,596
LA,9,5205,47708,995,0,0,0
ME,6,65432,27642,2102,1510,337,0
MD,8,109497,109446,2247,3034,1,0
MA,16,257822,165746,13604,4279,1294,2359
MI,14,364957,135392,9042,13441,1159,1036
MN,11,216651,55187,11692,6253,2103,974
MS,10,3280,53480,462,0,1499,0
MO,18,321449,296312,13009,7191,4226,1674
MT,3,34932,21773,5676,335,1520,208
NE,8,138558,52921,7412,6323,20518,0
NV,3,6864,3982,925,0,344,0
NH,4,54163,34074,1090,750,83,0
NJ,12,245164,164566,9587,6845,3705,2680
NY,39,859533,683981,36883,20787,7459,9127
NC,12,82442,124091,124,342,819,0
ND,4,52595,14273,2009,1137,0,0
OH,23,600095,344674,36260,19339,1392,2633
OR,4,60455,17521,7619,3806,753,0
PA,34,840949,337998,21863,33717,0,2211
RI,4,41605,24839,956,768,0,488
SC,9,2554,52563,0,0,1,0
SD,4,72083,21969,3138,2965,1240,0
TN,12,105363,131653,1354,1889,2491,0
TX,18,51242,167200,2791,4292,8062,421
UT,3,62446,33413,5767,0,0,0
VT,4,40459,9777,859,792,0,0
VA,12,48180,80649,202,1379,0,0
WA,5,101540,28098,10023,3229,669,1592
WV,7,132620,100855,1573,4599,339,0
WI,13,280315,124205,28240,9872,560,249
WY,3,20489,8930,1072,217,0,0
