#  Obama, McCain, Nader, Barr, Baldwin, McKinney
AL,9,813479,1266546,6788,4991,4310,0
AK,3,123594,193841,3783,1589,1660,0
AZ,10,1034707,1230111,11301,12555,1371,3406
AR,6,422310,638017,12882,4776,4023,3470
CA,55,8274473,5011781,108381,67582,3145,38774
CO,9,1288633,1073629,13352,10898,6233,2822
CT,7,997772,629428,19162,0,311,90
DE,3,255459,152374,2401,1109,626,385
DC,3,245800,17367,958,0,0,590
FL,27,4282074,4045624,28124,17218,7915,2887
GA,15,1844123,2048759,1158,28731,1402,250
HI,4,325871,120566,3825,1314,1013,979
ID,4,236440,403012,7175,3658,4747,39
IL,21,3419348,2031179,30948,19642,8256,11838
IN,11,1374039,1345648,909,29257,1024,87
IA,7,828940,682379,8014,4590,4445,1423
KS,6,514765,699655,10527,6706,4148,35
KY,8,751985,1048462,15378,5989,4694,0
LA,9,782989,1148275,6997,0,2581,9187
ME,4,421923,295273,10636,251,177,2900
MD,10,1629467,959862,14713,9842,3760,4747
MA,12,1904097,1108854,28841,13189,4971,6550
MI,17,2872579,2048639,33085,23716,14685,8892
MN,10,1573354,1275409,30152,9174,6787,5174
MS,6,554662,724597,4011,2529,2551,1034
MO,11,1441911,1445814,17813,11386,8201,80
MT,3,231667,242763,3686,1355,143,23
NE,5,333319,452979,5406,2740,2972,1028
NV,5,533736,412827,6150,4263,3194,1411
NH,4,384826,316534,3503,2217,226,40
NJ,15,2215422,1613207,21298,8441,3956,3636
NM,5,472422,346832,5327,2428,1597,1552
NY,31,4804945,2752771,41249,19596,634,12801
NC,15,2142651,2128474,1448,25722,0,158
ND,3,141278,168601,4189,1354,1199,0
OH,20,2940044,2677820,42337,19917,12565,8518
OK,7,502496,960165,0,0,0,0
OR,7,1037291,738475,18614,7635,7693,4543
PA,21,3276363,2655885,42977,19912,1092,0
RI,4,296571,165391,4829,1382,675,797
SC,8,862449,1034896,5053,7283,6827,4461
SD,3,170924,203054,4267,1835,1895,0
TN,11,1087437,1479178,11560,8547,8191,2499
TX,34,3528633,4479328,5751,56116,5708,909
UT,5,327670,596030,8416,6966,12012,982
VT,3,219262,98974,3339,1067,500,66
VA,13,1959532,1725005,11483,11067,7474,2344
WA,11,1750848,1229216,29489,12728,9432,3819
WV,5,303857,397466,7219,0,2465,2355
WI,10,1677211,1262393,17605,8858,5072,4216
WY,3,82868,164958,2525,1594,1192,0
