#  Wilson, Hughes, Benson, Hanly, progressive, Reimer
AL,12,99409,28662,1916,741,0,0
AZ,3,33170,20524,3174,1153,0,0
AR,9,112211,48879,6999,2015,0,0
CA,13,466289,462516,42898,27713,0,0
CO,6,178816,102308,10049,2793,409,0
CT,7,99786,106514,5179,1789,0,606
DE,3,24753,26011,480,566,0,0
FL,6,55984,14611,5353,4786,0,0
GA,14,127754,11294,941,0,20692,0
ID,4,70054,55368,8066,1127,0,0
IL,29,950229,1152549,61394,26047,0,2488
IN,15,334063,341005,21855,16368,3898,1659
IA,13,218699,280439,10973,3371,0,460
KS,10,314588,277658,24685,12882,0,0
KY,13,269990,241854,4734,3039,129,332
LA,10,79875,6466,292,0,6349,0
ME,6,64033,69508,2177,596,0,0
MD,8,138359,117347,2674,2903,0,756
MA,18,247885,268784,11058,2993,0,1097
MI,15,286775,339097,16120,8139,0,842
MN,12,179152,179544,20117,7793,290,468
MS,10,80422,4253,1484,0,520,0
MO,18,398032,369339,14612,3884,0,902
MT,4,101063,66750,9564,0,302,0
NE,8,158827,117771,7141,2952,0,624
NV,3,17776,12127,3065,348,0,0
NH,4,43781,43725,1318,303,0,0
NJ,14,211018,268982,10405,3182,0,855
NM,3,33527,31152,1996,112,0,0
NY,45,759426,879238,45944,19031,0,2666
NC,12,168383,120890,509,55,0,0
ND,5,55206,53471,5716,997,0,0
OH,24,604161,514753,38092,8080,0,0
OK,10,148113,97233,45527,1646,234,0
OR,5,120087,126813,9711,4729,310,0
PA,38,521784,703823,42638,28525,0,419
RI,5,40394,44858,1914,470,0,180
SC,9,61846,1550,135,0,162,0
SD,5,59191,64217,3760,1774,0,0
TN,12,153280,116223,2542,145,0,0
TX,20,286514,64999,18969,1985,0,0
UT,4,84145,54137,4460,149,111,144
VT,4,22708,40250,798,709,0,0
VA,12,101840,48384,1056,678,0,67
WA,7,183388,167208,22800,6868,0,730
WV,8,140403,143124,6150,175,0,0
WI,13,191363,220822,27631,7318,0,0
WY,3,28316,21698,1453,373,0,0
