#  Reagan, Mondale, Bergland
AL,9,872849,551899,9504
AK,3,138377,62007,6378
AZ,7,681416,333854,10585
AR,6,534774,338646,2221
CA,47,5467009,3922519,49951
CO,8,821818,454974,11257
CT,8,890877,569597,-
DE,3,152190,101656,268
DC,3,29009,180408,279
FL,21,2730350,1448816,754
GA,12,1068722,706628,151
HI,4,185050,147154,2167
ID,4,297523,108510,2823
IL,24,2707103,2086499,10086
IN,12,1377230,841481,6741
IA,8,703088,605620,1844
KS,7,677296,333149,3329
KY,9,822782,539589,-
LA,10,1037299,651586,1876
ME,4,336500,214515,-
MD,10,879918,787935,5721
MA,13,1310936,1239606,-
MI,20,2251571,1529638,10055
MN,10,1032603,1036364,2996
MS,7,581477,352192,2336
MO,11,1274188,848583,-
MT,4,232450,146742,5185
NE,5,460054,187866,2079
NV,4,188770,91655,2292
NH,4,267051,120395,735
NJ,16,1933630,1261323,6416
NM,5,307101,201769,4459
NY,36,3664763,3119609,11949
NC,13,1346481,824287,3794
ND,3,200336,104429,703
OH,23,2678560,1825440,5886
OK,8,861530,385080,9066
OR,7,685700,536479,-
PA,25,2584323,2228131,6982
RI,4,212080,197106,277
SC,8,615539,344470,4360
SD,3,200267,116113,-
TN,11,990212,711714,3072
TX,29,3433428,1949276,-
UT,5,469105,155369,2447
VT,3,135865,95730,1002
VA,12,1337078,796250,-
WA,10,1051670,807352,8844
WV,6,405483,328125,-
WI,11,1198800,995847,4884
WY,3,133241,53370,2357
