#  Roosevelt, Willkie, Thomas
AL,11,250726,42184,100
AZ,3,95267,54030,0
AR,9,158622,42121,0
CA,22,1877618,1351419,16506
CO,6,265554,279576,1899
CT,8,417621,361819,0
DE,3,74599,61440,115
FL,7,359334,126158,0
GA,12,265194,46360,0
ID,4,127842,106553,497
IL,29,2149934,2047240,10914
IN,14,874063,899466,2075
IA,11,578800,632370,0
KS,9,364725,489169,2347
KY,11,557222,410384,1014
LA,10,319751,52446,0
ME,5,156478,163951,0
MD,8,384546,269534,4093
MA,17,1076522,939700,4091
MI,19,1032991,1039917,7593
MN,11,644196,596274,5454
MS,9,168267,7364,193
MO,15,958476,871009,2226
MT,4,145698,99579,1443
NE,7,263677,352201,0
NV,3,31945,21229,0
NH,4,125292,110127,0
NJ,16,1016404,944876,2823
NM,3,103699,79315,144
NY,47,3251918,3027478,18950
NC,13,609015,213633,0
ND,4,124036,154590,1279
OH,26,1733139,1586773,0
OK,11,474313,348872,0
OR,5,258415,219555,398
PA,36,2171035,1889848,10967
RI,4,182182,138653,0
SC,8,95470,4360,2
SD,4,131362,177065,0
TN,11,351601,169153,463
TX,23,909974,212692,728
UT,4,154277,93151,200
VT,3,64269,78371,0
VA,11,235961,109363,282
WA,8,462145,322123,4586
WV,8,495662,372414,0
WI,12,704821,679206,15071
WY,3,59287,52633,148
