#  Cleveland, Harrison, Fisk, Streeter
AL,10,117314,57177,594,0
AR,7,86062,59752,614,10630
CA,8,117729,124816,5761,0
CO,3,37549,50772,2182,1266
CT,6,74920,74584,4234,240
DE,3,16414,12950,399,0
FL,4,39557,26529,414,0
GA,12,100493,40499,1808,136
IL,22,348351,370475,21703,7134
IN,15,261013,263361,9881,2694
IA,13,179877,211603,3550,9105
KS,9,102745,182904,6779,37788
KY,13,183830,155138,5223,677
LA,8,85032,30660,160,39
ME,6,50472,73730,2691,1344
MD,8,106188,99986,4767,0
MA,14,151590,183892,8701,0
MI,13,213469,236387,20945,4555
MN,7,104385,142492,15311,1097
MS,9,85451,30095,240,0
MO,16,261943,236252,4539,18626
NE,5,80552,108425,9429,4226
NV,3,5149,7088,41,0
NH,4,43456,45728,1593,0
NJ,9,151508,144360,7933,0
NY,36,635965,650338,30231,627
NC,11,147902,134784,2840,0
OH,23,396455,416054,24356,3496
OR,3,26522,33291,1677,0
PA,30,446633,526091,20947,3873
RI,4,17530,21969,1251,18
SC,9,65824,13736,0,0
TN,12,158699,138978,5969,48
TX,13,234883,88422,4749,29459
VT,4,16788,45192,1460,1977
VA,12,152004,150399,1684,0
WV,6,78677,78171,1084,1508
WI,11,155232,176553,14277,8552
