#  Eisenhower, Stevenson, Andrews+, Hass
AL,11,195694,280844,20150,0
AZ,4,176990,112880,303,0
AR,8,186287,213277,7008,0
CA,32,3027668,2420135,6087,300
CO,6,394479,263997,759,3308
CT,8,711837,405079,0,0
DE,3,98057,79421,0,110
FL,10,643849,480371,0,0
GA,12,216652,441094,0,0
ID,4,166979,105868,0,0
IL,27,2623327,1775682,0,8342
IN,13,1182811,783908,0,1334
IA,10,729187,501858,3202,125
KS,8,566878,296317,0,0
KY,10,572192,476453,2657,358
LA,10,329047,243977,44520,0
ME,5,249238,102468,0,0
MD,9,559738,372613,0,0
MA,16,1393197,948190,0,5573
MI,20,1713647,1359898,0,0
MN,11,719302,617525,0,2080
MS,8,60685,144498,42966,0
MO,13,914289,918273,0,0
MT,4,154933,116238,0,0
NE,6,378108,199029,0,0
NV,3,56049,40640,0,0
NH,4,176519,90364,111,0
NJ,16,1606942,850337,5317,6736
NM,4,146788,106098,364,69
NY,45,4340340,2750769,0,0
NC,14,575062,590530,0,0
ND,4,156766,96742,483,0
OH,25,2262610,1439655,0,0
OK,8,473769,385581,0,0
OR,6,406393,329204,0,0
PA,32,2585252,1981769,0,7447
RI,4,225819,161790,0,0
SC,8,75700,136372,88511,0
SD,4,171569,122288,0,0
TN,11,462288,456507,19820,0
TX,24,1080619,859958,14591,0
UT,4,215631,118364,0,0
VT,3,110390,42549,0,0
VA,12,386459,267760,42964,351
WA,9,620430,523002,0,7457
WV,8,449297,381534,0,0
WI,12,954844,586768,6918,710
WY,3,74573,49554,0,0
