#  Roosevelt, Dewey, unpledged, Thomas
AL,11,198918,44540,0,190
AZ,4,80926,56287,0,0
AR,9,148965,63551,0,438
CA,25,1988564,1512965,0,2515
CO,6,234331,268731,0,1977
CT,8,435146,390527,0,5097
DE,3,68166,56747,0,154
FL,8,339377,143215,0,0
GA,12,268187,59880,0,6
ID,4,107399,100137,0,282
IL,28,2079479,1939314,0,180
IN,13,781403,875891,0,2223
IA,10,499876,547267,0,1511
KS,8,287458,442096,0,1613
KY,11,472589,392448,0,535
LA,10,281564,67750,0,0
ME,5,140631,155434,0,0
MD,8,315490,292949,0,0
MA,16,1035296,921350,0,0
MI,19,1106899,1084423,0,4598
MN,11,589864,527416,0,5073
MS,9,168479,11601,0,0
MO,15,807804,761524,0,1751
MT,4,112556,93163,0,1296
NE,6,233246,329880,0,0
NV,3,29623,24611,0,0
NH,4,119663,109916,0,46
NJ,16,987874,961335,0,3358
NM,4,81389,70688,0,0
NY,47,3304238,2987647,0,10553
NC,14,527399,263155,0,0
ND,4,100144,118535,0,943
OH,25,1570763,1582293,0,0
OK,10,401549,319424,0,0
OR,6,248635,225365,0,3785
PA,35,1940479,1835054,0,11721
RI,4,175356,123487,0,0
SC,8,90601,4610,7799,0
SD,4,96711,135365,0,0
TN,12,308707,200311,0,792
TX,23,821605,191425,135439,594
UT,4,150088,97891,0,340
VT,3,53820,71527,0,0
VA,11,242276,145243,0,417
WA,8,486774,361689,0,3824
WV,8,392777,322819,0,0
WI,12,650413,674532,0,13205
WY,3,49419,51921,0,0
