#  Roosevelt, Landon, Lemke, Thomas
AL,11,238136,35358,551,242
AZ,3,86722,33433,3307,317
AR,9,146765,32039,4,446
CA,22,1766836,836431,0,11331
CO,6,295021,181267,9962,1593
CT,8,382129,278685,21805,5683
DE,3,69702,57236,442,172
FL,7,249117,78248,0,0,0
GA,12,255364,36942,141,68
ID,4,125683,66256,7678,0,0
IL,29,2282999,1570393,89439,7530
IN,14,934974,691570,19407,3856
IA,11,621756,487977,29687,1373
KS,9,464520,397727,497,2770,0
KY,11,541944,369702,12501,632
LA,10,292894,36791,0,0
ME,5,126333,168823,7581,783
MD,8,389612,231435,0,1629
MA,17,942716,768613,118639,5111
MI,19,1016794,699733,75795,8208
MN,11,698811,350461,74296,2872
MS,9,157318,4443,0,329,0
MO,15,1111043,697891,14630,3454
MT,4,159690,63598,5549,1066
NE,7,347445,247731,12847,0,0
NV,3,31925,11923,0,0,0
NH,4,108460,104642,4819,0
NJ,16,1083850,720322,9407,3931
NM,3,106037,61727,924,343
NY,47,3293222,2180670,0,86897
NC,13,616141,223283,2,21
ND,4,163148,72751,36708,552
OH,26,1747140,1127855,132212,117
OK,11,501069,245122,0,2221
OR,5,266733,122706,21831,2143
PA,36,2353987,1690200,67468,14599
RI,4,165238,125031,19569,0
SC,8,113791,1646,0,0,0
SD,4,160137,125977,10338,0,0
TN,11,328083,146520,296,686
TX,23,734485,103874,3281,1075
UT,4,150246,64555,1121,432
VT,3,62124,81023,0,0
VA,11,234980,98336,233,313
WA,8,459579,206892,17463,3496
WV,8,502582,325358,0,832
WI,12,802984,380828,60297,10626
WY,3,62624,38739,1653,200
